run_id,model,target,split,precision,recall,f1,roc_auc,pr_auc,predicted_positive_rate,recall_at_10pct,precision_at_10pct,threshold
20260309T004240Z,rule,rth_next_30d,val,0.0769230769230769,0.3018480492813141,0.1226021684737281,0.594973758210817,0.0441408701422901,0.1175927635222447,,,
20260309T004240Z,rule,rth_next_30d,test,0.0921052631578947,0.4057971014492754,0.1501340482573726,0.6486575319368065,0.0530656248164718,0.1163324659421399,,,
20260309T004241Z,lightgbm,rth_next_30d,val,0.1144615384615384,0.3819301848049281,0.1761363636363636,0.7728647837950634,0.1806669177810248,0.099993846532521,0.3819301848049281,0.1144615384615384,0.0804811384886497
20260309T004241Z,lightgbm,rth_next_30d,test,0.0971690895179801,0.3681159420289855,0.1537530266343825,0.7708394996747361,0.1628766027165828,0.1000306138068268,0.3681159420289855,0.0972434915773353,0.0804811384886497
20260309T023003Z,lightgbm,rth_next_30d,val,0.0299673866223617,1.0,0.0581909427649659,0.5,0.0299673866223617,1.0,0.0800821355236139,0.024,0.0
20260309T023003Z,lightgbm,rth_next_30d,test,0.026404408388183,1.0,0.0514503019909029,0.5,0.026404408388183,1.0,0.072463768115942,0.0191424196018376,0.0
20260309T024217Z,lightgbm,rth_next_30d,val,0.0299673866223617,1.0,0.0581909427649659,0.5,0.0299673866223617,1.0,0.0800821355236139,0.024,0.5
20260309T024217Z,lightgbm,rth_next_30d,test,0.026404408388183,1.0,0.0514503019909029,0.5,0.026404408388183,1.0,0.072463768115942,0.0191424196018376,0.5
20260309T025832Z,lightgbm,rth_next_30d,val,0.1415384615384615,0.4722792607802875,0.2178030303030303,0.8088275367627329,0.1652663619437158,0.099993846532521,0.4722792607802875,0.1415384615384615,0.0438678872121587
20260309T025832Z,lightgbm,rth_next_30d,test,0.1222136817832436,0.4608695652173913,0.1931956257594167,0.7993409277595304,0.1782605672741869,0.0995714067044237,0.463768115942029,0.1225114854517611,0.0438678872121587
20260309T032356Z,lightgbm,fall_next_30d,val,0.347076923076923,0.423105776444111,0.3813387423935091,0.7936432341762877,0.333145966248202,0.099993846532521,0.423105776444111,0.347076923076923,0.2900690185887825
20260309T032356Z,lightgbm,fall_next_30d,test,0.2829581993569132,0.3621399176954732,0.3176895306859206,0.7586131289126805,0.2608440169131347,0.0952089392315934,0.3765432098765432,0.2802450229709035,0.2900690185887825
20260309T032545Z,lightgbm,rth_next_30d,val,0.1415384615384615,0.4722792607802875,0.2178030303030303,0.8088275367627329,0.1652663619437158,0.099993846532521,0.4722792607802875,0.1415384615384615,0.0438678872121587
20260309T032545Z,lightgbm,rth_next_30d,test,0.1222136817832436,0.4608695652173913,0.1931956257594167,0.7993409277595304,0.1782605672741869,0.0995714067044237,0.463768115942029,0.1225114854517611,0.0438678872121587
20260309T032831Z,lightgbm,fall_next_30d,val,0.3464615384615385,0.4223555888972243,0.3806626098715348,0.8009821784444637,0.3477990118897101,0.099993846532521,0.4223555888972243,0.3464615384615385,0.2936674391229325
20260309T032831Z,lightgbm,fall_next_30d,test,0.3159183673469388,0.3981481481481481,0.3522985889849795,0.7903852095485229,0.2979007433828091,0.0937547834073167,0.4053497942386831,0.3016845329249617,0.2936674391229325
20260309T034011Z,lightgbm,fall_next_30d,val,0.3106382978723404,0.4381095273818454,0.3635231870525988,0.7595733143635821,0.2697790932367638,0.1156851886037782,0.4223555888972243,0.3464615384615385,0.1050667544576722
20260309T034011Z,lightgbm,fall_next_30d,test,0.2887989203778677,0.4403292181069959,0.3488182559087204,0.7413610956288226,0.2402471143775622,0.1134241542935864,0.3991769547325103,0.2970903522205206,0.1050667544576722
20260309T034051Z,lightgbm,rth_next_30d,val,0.1316923076923077,0.4394250513347023,0.2026515151515151,0.7832550135025507,0.1257143664579945,0.099993846532521,0.4394250513347023,0.1316923076923077,0.0733860553338881
20260309T034051Z,lightgbm,rth_next_30d,test,0.1183385579937304,0.4376811594202898,0.1863047501542258,0.7691956356543841,0.1271320078874273,0.0976580437777437,0.4405797101449275,0.116385911179173,0.0733860553338881
